,"jaar","stof","hoeveelheid","eenheid","latitude","longitude","refgebied","income","zipcode"
1,2013,"Zwalveloxiden (SOX/SO2)",75.842325,"ton/jaar",51.1693645985,3.8045973404,"<http://id.milieuinfo.be/imjv/emissiepunt/2782#id>",522917998,18369
2,2013,"Zwalveloxiden (SOX/SO2)",3.7927752491,"ton/jaar",51.1692254871,3.8055855298,"<http://id.milieuinfo.be/imjv/emissiepunt/2793#id>",465906930,26827
3,2013,"Zwalveloxiden (SOX/SO2)",492.8383705158,"ton/jaar",51.1667617183,3.8072878776,"<http://id.milieuinfo.be/imjv/emissiepunt/2795#id>",845868050,46200
4,2013,"Koolmonoxide",31.03,"ton/jaar",51.1625526073,3.7826790839,"<http://id.milieuinfo.be/imjv/emissiepunt/11251#id>",423435453,62699
5,2013,"Zwalveloxiden (SOX/SO2)",0.8,"ton/jaar",51.1625526073,3.7826790839,"<http://id.milieuinfo.be/imjv/emissiepunt/11251#id>",961275872,76893
6,2013,"Stikstofoxiden (NOx/NO2)",3.79,"ton/jaar",51.1625526073,3.7826790839,"<http://id.milieuinfo.be/imjv/emissiepunt/11251#id>",292932399,29451
7,2013,"Niet elders genoemde NMVOS",0.001,"ton/jaar",51.2317697515,5.0701282184,"<http://id.milieuinfo.be/imjv/emissiepunt/11449#id>",578176511,32909
8,2013,"Stikstofoxiden (NOx/NO2)",0.001,"ton/jaar",51.2317697515,5.0701282184,"<http://id.milieuinfo.be/imjv/emissiepunt/11449#id>",1121371,88646
9,2013,"Koolmonoxide",0.001,"ton/jaar",51.2317697515,5.0701282184,"<http://id.milieuinfo.be/imjv/emissiepunt/11449#id>",417131158,92777
10,2013,"Zwalveloxiden (SOX/SO2)",0.001,"ton/jaar",51.2317697515,5.0701282184,"<http://id.milieuinfo.be/imjv/emissiepunt/11449#id>",162494346,18418
11,2011,"Kooldioxide",91718.937,"ton/jaar",51.3341011717,4.2907842779,"<http://id.milieuinfo.be/imjv/emissiepunt/284#id>",361839327,24690
12,2011,"Nikkel",0.008,"ton/jaar",51.3341011717,4.2907842779,"<http://id.milieuinfo.be/imjv/emissiepunt/284#id>",139542348,91505
13,2011,"Benzo(a)pyreen",0.175,"ton/jaar",51.3341011717,4.2907842779,"<http://id.milieuinfo.be/imjv/emissiepunt/284#id>",917367560,31806
14,2011,"Zwalveloxiden (SOX/SO2)",26.192,"ton/jaar",51.3341011717,4.2907842779,"<http://id.milieuinfo.be/imjv/emissiepunt/284#id>",101407823,90227
15,2011,"Dibenzo(a h)anthraceen",0.108,"ton/jaar",51.3341011717,4.2907842779,"<http://id.milieuinfo.be/imjv/emissiepunt/284#id>",572026541,66446
16,2011,"Stikstofoxiden (NOx/NO2)",7.479,"ton/jaar",51.3341011717,4.2907842779,"<http://id.milieuinfo.be/imjv/emissiepunt/284#id>",544291066,82315
17,2011,"Totaal stof",3.29,"ton/jaar",51.3341011717,4.2907842779,"<http://id.milieuinfo.be/imjv/emissiepunt/284#id>",307894992,58332
18,2011,"Vanadium",0.025,"ton/jaar",51.3341011717,4.2907842779,"<http://id.milieuinfo.be/imjv/emissiepunt/284#id>",29987240,98557
19,2011,"Koolmonoxide",0.416,"ton/jaar",51.3341011717,4.2907842779,"<http://id.milieuinfo.be/imjv/emissiepunt/284#id>",158791560,23614
20,2011,"Zwalveloxiden (SOX/SO2)",28.432,"ton/jaar",51.3342089777,4.2907123623,"<http://id.milieuinfo.be/imjv/emissiepunt/285#id>",585248878,14011
21,2011,"Benzo(a)pyreen",0.117,"ton/jaar",51.3342089777,4.2907123623,"<http://id.milieuinfo.be/imjv/emissiepunt/285#id>",870840548,41723
22,2011,"Stikstofoxiden (NOx/NO2)",26.017,"ton/jaar",51.3342089777,4.2907123623,"<http://id.milieuinfo.be/imjv/emissiepunt/285#id>",373164404,69110
23,2011,"Vanadium",0.008,"ton/jaar",51.3342089777,4.2907123623,"<http://id.milieuinfo.be/imjv/emissiepunt/285#id>",378766569,81617
24,2011,"Nikkel",0.067,"ton/jaar",51.3342089777,4.2907123623,"<http://id.milieuinfo.be/imjv/emissiepunt/285#id>",746293857,53830
25,2011,"Dibenzo(a h)anthraceen",0.042,"ton/jaar",51.3342089777,4.2907123623,"<http://id.milieuinfo.be/imjv/emissiepunt/285#id>",169057723,48537
26,2011,"Kooldioxide",70650.005,"ton/jaar",51.3342089777,4.2907123623,"<http://id.milieuinfo.be/imjv/emissiepunt/285#id>",258524410,32610
27,2011,"Totaal stof",12.717,"ton/jaar",51.3342089777,4.2907123623,"<http://id.milieuinfo.be/imjv/emissiepunt/285#id>",175058813,71859
28,2011,"Koolmonoxide",2.224,"ton/jaar",51.3342089777,4.2907123623,"<http://id.milieuinfo.be/imjv/emissiepunt/285#id>",840441377,18002
29,2011,"Koolmonoxide",13.469,"ton/jaar",51.3340290653,4.2904687513,"<http://id.milieuinfo.be/imjv/emissiepunt/286#id>",672330298,44969
30,2011,"Totaal stof",2.848,"ton/jaar",51.3340290653,4.2904687513,"<http://id.milieuinfo.be/imjv/emissiepunt/286#id>",912786973,24635
31,2011,"Vanadium",0.008,"ton/jaar",51.3340290653,4.2904687513,"<http://id.milieuinfo.be/imjv/emissiepunt/286#id>",954887825,69978
32,2011,"Kooldioxide",1367195.793,"ton/jaar",51.3340290653,4.2904687513,"<http://id.milieuinfo.be/imjv/emissiepunt/286#id>",195248295,53339
33,2011,"Dibenzo(a h)anthraceen",0.092,"ton/jaar",51.3340290653,4.2904687513,"<http://id.milieuinfo.be/imjv/emissiepunt/286#id>",378693903,41462
34,2011,"Benzo(a)pyreen",0.092,"ton/jaar",51.3340290653,4.2904687513,"<http://id.milieuinfo.be/imjv/emissiepunt/286#id>",800755875,16178
35,2011,"Stikstofoxiden (NOx/NO2)",86.331,"ton/jaar",51.3340290653,4.2904687513,"<http://id.milieuinfo.be/imjv/emissiepunt/286#id>",618583749,16038
36,2011,"Zwalveloxiden (SOX/SO2)",31.755,"ton/jaar",51.3348752612,4.2925764747,"<http://id.milieuinfo.be/imjv/emissiepunt/287#id>",339969774,18355
37,2011,"Koolmonoxide",6.202,"ton/jaar",51.3348752612,4.2925764747,"<http://id.milieuinfo.be/imjv/emissiepunt/287#id>",93688273,35629
