,"jaar","stof","hoeveelheid","eenheid","latitude","longitude","refgebied","CD_REFNIS_SECTOR"
1,2013,"Zwalveloxiden (SOX/SO2)",75.842325,"ton/jaar",51.1693645985,3.8045973404,"<http://id.milieuinfo.be/imjv/emissiepunt/2782#id>",
2,2013,"Zwalveloxiden (SOX/SO2)",3.7927752491,"ton/jaar",51.1692254871,3.8055855298,"<http://id.milieuinfo.be/imjv/emissiepunt/2793#id>",
3,2013,"Zwalveloxiden (SOX/SO2)",492.8383705158,"ton/jaar",51.1667617183,3.8072878776,"<http://id.milieuinfo.be/imjv/emissiepunt/2795#id>",
4,2013,"Koolmonoxide",31.03,"ton/jaar",51.1625526073,3.7826790839,"<http://id.milieuinfo.be/imjv/emissiepunt/11251#id>",
5,2013,"Zwalveloxiden (SOX/SO2)",0.8,"ton/jaar",51.1625526073,3.7826790839,"<http://id.milieuinfo.be/imjv/emissiepunt/11251#id>",
6,2013,"Stikstofoxiden (NOx/NO2)",3.79,"ton/jaar",51.1625526073,3.7826790839,"<http://id.milieuinfo.be/imjv/emissiepunt/11251#id>",
7,2013,"Niet elders genoemde NMVOS",0.001,"ton/jaar",51.2317697515,5.0701282184,"<http://id.milieuinfo.be/imjv/emissiepunt/11449#id>",
8,2013,"Stikstofoxiden (NOx/NO2)",0.001,"ton/jaar",51.2317697515,5.0701282184,"<http://id.milieuinfo.be/imjv/emissiepunt/11449#id>",
9,2013,"Koolmonoxide",0.001,"ton/jaar",51.2317697515,5.0701282184,"<http://id.milieuinfo.be/imjv/emissiepunt/11449#id>",
10,2013,"Zwalveloxiden (SOX/SO2)",0.001,"ton/jaar",51.2317697515,5.0701282184,"<http://id.milieuinfo.be/imjv/emissiepunt/11449#id>",
11,2011,"Kooldioxide",91718.937,"ton/jaar",51.3341011717,4.2907842779,"<http://id.milieuinfo.be/imjv/emissiepunt/284#id>",
12,2011,"Nikkel",0.008,"ton/jaar",51.3341011717,4.2907842779,"<http://id.milieuinfo.be/imjv/emissiepunt/284#id>",
13,2011,"Benzo(a)pyreen",0.175,"ton/jaar",51.3341011717,4.2907842779,"<http://id.milieuinfo.be/imjv/emissiepunt/284#id>",
14,2011,"Zwalveloxiden (SOX/SO2)",26.192,"ton/jaar",51.3341011717,4.2907842779,"<http://id.milieuinfo.be/imjv/emissiepunt/284#id>",
15,2011,"Dibenzo(a,h)anthraceen",0.108,"ton/jaar",51.3341011717,4.2907842779,"<http://id.milieuinfo.be/imjv/emissiepunt/284#id>",
16,2011,"Stikstofoxiden (NOx/NO2)",7.479,"ton/jaar",51.3341011717,4.2907842779,"<http://id.milieuinfo.be/imjv/emissiepunt/284#id>",
17,2011,"Totaal stof",3.29,"ton/jaar",51.3341011717,4.2907842779,"<http://id.milieuinfo.be/imjv/emissiepunt/284#id>",
18,2011,"Vanadium",0.025,"ton/jaar",51.3341011717,4.2907842779,"<http://id.milieuinfo.be/imjv/emissiepunt/284#id>",
19,2011,"Koolmonoxide",0.416,"ton/jaar",51.3341011717,4.2907842779,"<http://id.milieuinfo.be/imjv/emissiepunt/284#id>",
20,2011,"Zwalveloxiden (SOX/SO2)",28.432,"ton/jaar",51.3342089777,4.2907123623,"<http://id.milieuinfo.be/imjv/emissiepunt/285#id>",
21,2011,"Benzo(a)pyreen",0.117,"ton/jaar",51.3342089777,4.2907123623,"<http://id.milieuinfo.be/imjv/emissiepunt/285#id>",
22,2011,"Stikstofoxiden (NOx/NO2)",26.017,"ton/jaar",51.3342089777,4.2907123623,"<http://id.milieuinfo.be/imjv/emissiepunt/285#id>",
23,2011,"Vanadium",0.008,"ton/jaar",51.3342089777,4.2907123623,"<http://id.milieuinfo.be/imjv/emissiepunt/285#id>",
24,2011,"Nikkel",0.067,"ton/jaar",51.3342089777,4.2907123623,"<http://id.milieuinfo.be/imjv/emissiepunt/285#id>",
25,2011,"Dibenzo(a,h)anthraceen",0.042,"ton/jaar",51.3342089777,4.2907123623,"<http://id.milieuinfo.be/imjv/emissiepunt/285#id>",
26,2011,"Kooldioxide",70650.005,"ton/jaar",51.3342089777,4.2907123623,"<http://id.milieuinfo.be/imjv/emissiepunt/285#id>",
27,2011,"Totaal stof",12.717,"ton/jaar",51.3342089777,4.2907123623,"<http://id.milieuinfo.be/imjv/emissiepunt/285#id>",
28,2011,"Koolmonoxide",2.224,"ton/jaar",51.3342089777,4.2907123623,"<http://id.milieuinfo.be/imjv/emissiepunt/285#id>",
29,2011,"Koolmonoxide",13.469,"ton/jaar",51.3340290653,4.2904687513,"<http://id.milieuinfo.be/imjv/emissiepunt/286#id>",
30,2011,"Totaal stof",2.848,"ton/jaar",51.3340290653,4.2904687513,"<http://id.milieuinfo.be/imjv/emissiepunt/286#id>",
31,2011,"Vanadium",0.008,"ton/jaar",51.3340290653,4.2904687513,"<http://id.milieuinfo.be/imjv/emissiepunt/286#id>",
32,2011,"Kooldioxide",1367195.793,"ton/jaar",51.3340290653,4.2904687513,"<http://id.milieuinfo.be/imjv/emissiepunt/286#id>",
33,2011,"Dibenzo(a,h)anthraceen",0.092,"ton/jaar",51.3340290653,4.2904687513,"<http://id.milieuinfo.be/imjv/emissiepunt/286#id>",
34,2011,"Benzo(a)pyreen",0.092,"ton/jaar",51.3340290653,4.2904687513,"<http://id.milieuinfo.be/imjv/emissiepunt/286#id>",
35,2011,"Stikstofoxiden (NOx/NO2)",86.331,"ton/jaar",51.3340290653,4.2904687513,"<http://id.milieuinfo.be/imjv/emissiepunt/286#id>",
36,2011,"Zwalveloxiden (SOX/SO2)",31.755,"ton/jaar",51.3348752612,4.2925764747,"<http://id.milieuinfo.be/imjv/emissiepunt/287#id>",
37,2011,"Koolmonoxide",6.202,"ton/jaar",51.3348752612,4.2925764747,"<http://id.milieuinfo.be/imjv/emissiepunt/287#id>",
38,2011,"Totaal stof",5.843,"ton/jaar",51.3348752612,4.2925764747,"<http://id.milieuinfo.be/imjv/emissiepunt/287#id>",
39,2011,"Dibenzo(a,h)anthraceen",0.053,"ton/jaar",51.3348752612,4.2925764747,"<http://id.milieuinfo.be/imjv/emissiepunt/287#id>",
40,2011,"Kooldioxide",76636.002,"ton/jaar",51.3348752612,4.2925764747,"<http://id.milieuinfo.be/imjv/emissiepunt/287#id>",
41,2011,"Nikkel",0.009,"ton/jaar",51.3348752612,4.2925764747,"<http://id.milieuinfo.be/imjv/emissiepunt/287#id>",
42,2011,"Dibenzo(a,h)anthraceen",0.066,"ton/jaar",51.3341729245,4.2905545985,"<http://id.milieuinfo.be/imjv/emissiepunt/288#id>",
43,2011,"Kooldioxide",39836.001,"ton/jaar",51.3341729245,4.2905545985,"<http://id.milieuinfo.be/imjv/emissiepunt/288#id>",
44,2011,"Nikkel",0.025,"ton/jaar",51.3341729245,4.2905545985,"<http://id.milieuinfo.be/imjv/emissiepunt/288#id>",
45,2011,"Zwalveloxiden (SOX/SO2)",16.495,"ton/jaar",51.3341729245,4.2905545985,"<http://id.milieuinfo.be/imjv/emissiepunt/288#id>",
46,2011,"Benzo(a)pyreen",0.19,"ton/jaar",51.3341729245,4.2905545985,"<http://id.milieuinfo.be/imjv/emissiepunt/288#id>",
