,"jaar","stof","hoeveelheid","eenheid","latitude","longitude","refgebied","CD_MUNTY_REFNIS"
1,2013,"Kooldioxide",5256,"ton/jaar",51.1883381755,5.155437873,"<http://id.milieuinfo.be/imjv/emissiepunt/8059#id>",13025
2,2012,"Kooldioxide",4936,"ton/jaar",51.1883381755,5.155437873,"<http://id.milieuinfo.be/imjv/emissiepunt/8059#id>",13025
3,2013,"Kooldioxide",82355,"ton/jaar",51.1883381755,5.155437873,"<http://id.milieuinfo.be/imjv/emissiepunt/2269#id>",13025
4,2012,"Kooldioxide",84853,"ton/jaar",51.1883381755,5.155437873,"<http://id.milieuinfo.be/imjv/emissiepunt/2269#id>",13025
5,2012,"Kooldioxide",6986.9,"ton/jaar",50.9810116561,5.2373943949,"<http://id.milieuinfo.be/imjv/emissiepunt/8014#id>",71070
6,2013,"Kooldioxide",7340.63,"ton/jaar",50.9810116561,5.2373943949,"<http://id.milieuinfo.be/imjv/emissiepunt/8014#id>",71070
7,2013,"Kooldioxide",649,"ton/jaar",51.3066159537,4.8993267917,"<http://id.milieuinfo.be/imjv/emissiepunt/9540#id>",13040
8,2012,"Kooldioxide",543,"ton/jaar",51.3066159537,4.8993267917,"<http://id.milieuinfo.be/imjv/emissiepunt/9540#id>",13040
9,2011,"Kooldioxide",68.773,"ton/jaar",51.3240736821,4.2952762799,"<http://id.milieuinfo.be/imjv/emissiepunt/9121#id>",11002
10,2012,"Kooldioxide",116938,"ton/jaar",50.8008056834,4.9479249143,"<http://id.milieuinfo.be/imjv/emissiepunt/3078#id>",24107
11,2013,"Kooldioxide",1726,"ton/jaar",50.8014046237,4.9449675264,"<http://id.milieuinfo.be/imjv/emissiepunt/10765#id>",24107
12,2012,"Kooldioxide",3268,"ton/jaar",50.8014046237,4.9449675264,"<http://id.milieuinfo.be/imjv/emissiepunt/10765#id>",24107
13,2012,"Kooldioxide",6514,"ton/jaar",50.7940765677,4.9360839497,"<http://id.milieuinfo.be/imjv/emissiepunt/10176#id>",24107
14,2013,"Kooldioxide",90251.6,"ton/jaar",50.8008056834,4.9479249143,"<http://id.milieuinfo.be/imjv/emissiepunt/3078#id>",24107
15,2012,"Kooldioxide",352,"ton/jaar",50.80067499,4.9470863686,"<http://id.milieuinfo.be/imjv/emissiepunt/3080#id>",24107
16,2013,"Kooldioxide",570,"ton/jaar",50.7940765677,4.9360839497,"<http://id.milieuinfo.be/imjv/emissiepunt/6695#id>",24107
17,2012,"Kooldioxide",351,"ton/jaar",50.7940765677,4.9360839497,"<http://id.milieuinfo.be/imjv/emissiepunt/6695#id>",24107
18,2013,"Kooldioxide",581,"ton/jaar",50.7940765677,4.9360839497,"<http://id.milieuinfo.be/imjv/emissiepunt/10176#id>",24107
19,2012,"Kooldioxide",1126,"ton/jaar",50.7940765677,4.9360839497,"<http://id.milieuinfo.be/imjv/emissiepunt/10176#id>",24107
20,2013,"Kooldioxide",6256,"ton/jaar",50.7940765677,4.9360839497,"<http://id.milieuinfo.be/imjv/emissiepunt/10176#id>",24107
21,2012,"Kooldioxide",103,"ton/jaar",50.7940765677,4.9360839497,"<http://id.milieuinfo.be/imjv/emissiepunt/10622#id>",24107
22,2013,"Kooldioxide",55,"ton/jaar",50.80067499,4.9470863686,"<http://id.milieuinfo.be/imjv/emissiepunt/3080#id>",24107
23,2013,"Kooldioxide",816161.245,"ton/jaar",51.369332208,4.2661157937,"<http://id.milieuinfo.be/imjv/emissiepunt/8251#id>",11002
24,2013,"Kooldioxide",816161.245,"ton/jaar",51.369332208,4.2661157937,"<http://id.milieuinfo.be/imjv/emissiepunt/8251#id>",11002
25,2011,"Kooldioxide",942828,"ton/jaar",51.369332208,4.2661157937,"<http://id.milieuinfo.be/imjv/emissiepunt/8251#id>",11002
26,2011,"Kooldioxide",942828,"ton/jaar",51.369332208,4.2661157937,"<http://id.milieuinfo.be/imjv/emissiepunt/8251#id>",11002
27,2012,"Kooldioxide",1033513.626,"ton/jaar",51.369332208,4.2661157937,"<http://id.milieuinfo.be/imjv/emissiepunt/8251#id>",11002
28,2012,"Kooldioxide",1033513.626,"ton/jaar",51.369332208,4.2661157937,"<http://id.milieuinfo.be/imjv/emissiepunt/8251#id>",11002
29,2013,"Kooldioxide",19277,"ton/jaar",51.258208469,4.3294698959,"<http://id.milieuinfo.be/imjv/emissiepunt/489#id>",11002
30,2013,"Kooldioxide",19277,"ton/jaar",51.258208469,4.3294698959,"<http://id.milieuinfo.be/imjv/emissiepunt/489#id>",11002
31,2013,"Kooldioxide",9458,"ton/jaar",51.2587839104,4.3301283463,"<http://id.milieuinfo.be/imjv/emissiepunt/10767#id>",11002
32,2013,"Kooldioxide",9458,"ton/jaar",51.2587839104,4.3301283463,"<http://id.milieuinfo.be/imjv/emissiepunt/10767#id>",11002
33,2013,"Kooldioxide",251031,"ton/jaar",51.258208469,4.3294698959,"<http://id.milieuinfo.be/imjv/emissiepunt/10769#id>",11002
34,2012,"Kooldioxide",273912,"ton/jaar",51.258208469,4.3294698959,"<http://id.milieuinfo.be/imjv/emissiepunt/10769#id>",11002
35,2013,"Kooldioxide",251031,"ton/jaar",51.258208469,4.3294698959,"<http://id.milieuinfo.be/imjv/emissiepunt/10769#id>",11002
36,2012,"Kooldioxide",273912,"ton/jaar",51.258208469,4.3294698959,"<http://id.milieuinfo.be/imjv/emissiepunt/10769#id>",11002
37,2013,"Kooldioxide",2233,"ton/jaar",51.2594221208,4.3303283782,"<http://id.milieuinfo.be/imjv/emissiepunt/487#id>",11002
38,2013,"Kooldioxide",2233,"ton/jaar",51.2594221208,4.3303283782,"<http://id.milieuinfo.be/imjv/emissiepunt/487#id>",11002
39,2013,"Kooldioxide",479,"ton/jaar",51.2594221208,4.3303283782,"<http://id.milieuinfo.be/imjv/emissiepunt/10681#id>",11002
40,2013,"Kooldioxide",479,"ton/jaar",51.2594221208,4.3303283782,"<http://id.milieuinfo.be/imjv/emissiepunt/10681#id>",11002
41,2012,"Kooldioxide",684856,"ton/jaar",51.2594221208,4.3303283782,"<http://id.milieuinfo.be/imjv/emissiepunt/10681#id>",11002
42,2012,"Kooldioxide",684856,"ton/jaar",51.2594221208,4.3303283782,"<http://id.milieuinfo.be/imjv/emissiepunt/10681#id>",11002
43,2013,"Kooldioxide",558796,"ton/jaar",51.2538750178,4.3258067848,"<http://id.milieuinfo.be/imjv/emissiepunt/10768#id>",11002
44,2013,"Kooldioxide",558796,"ton/jaar",51.2538750178,4.3258067848,"<http://id.milieuinfo.be/imjv/emissiepunt/10768#id>",11002
45,2013,"Kooldioxide",19216,"ton/jaar",51.2538750178,4.3258067848,"<http://id.milieuinfo.be/imjv/emissiepunt/493#id>",11002
46,2013,"Kooldioxide",19216,"ton/jaar",51.2538750178,4.3258067848,"<http://id.milieuinfo.be/imjv/emissiepunt/493#id>",11002
47,2016,"Kooldioxide",84286.248,"ton/jaar",50.8458087794,3.2919122666,"<http://id.milieuinfo.be/imjv/emissiepunt/1597#id>",34013
48,2011,"Kooldioxide",839576,"ton/jaar",51.2538750178,4.3258067848,"<http://id.milieuinfo.be/imjv/emissiepunt/6669#id>",11002
49,2011,"Kooldioxide",839576,"ton/jaar",51.2538750178,4.3258067848,"<http://id.milieuinfo.be/imjv/emissiepunt/6669#id>",11002
50,2011,"Kooldioxide",55,"ton/jaar",51.0822696498,4.8111519624,"<http://id.milieuinfo.be/imjv/emissiepunt/9127#id>",13016
